tax_id,parent_id,rank,tax_name,root,kingdom,phylum,class,order,family,genus,species
Root,Root,root,Root,Root,,,,,,,
k__Bacteria,Root,kingdom,k__Bacteria,Root,k__Bacteria,,,,,,
p__Proteobacteria,k__Bacteria,phylum,p__Proteobacteria,Root,k__Bacteria,p__Proteobacteria,,,,,
c__Betaproteobacteria,p__Proteobacteria,class,c__Betaproteobacteria,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,,,,
o__MND1,c__Betaproteobacteria,order,o__MND1,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__MND1,,,
p__OP11,k__Bacteria,phylum,p__OP11,Root,k__Bacteria,p__OP11,,,,,
c__WCHB1-64,p__OP11,class,c__WCHB1-64,Root,k__Bacteria,p__OP11,c__WCHB1-64,,,,
o__d153,c__WCHB1-64,order,o__d153,Root,k__Bacteria,p__OP11,c__WCHB1-64,o__d153,,,
p__Firmicutes,k__Bacteria,phylum,p__Firmicutes,Root,k__Bacteria,p__Firmicutes,,,,,
c__Clostridia,p__Firmicutes,class,c__Clostridia,Root,k__Bacteria,p__Firmicutes,c__Clostridia,,,,
o__Clostridiales,c__Clostridia,order,o__Clostridiales,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,,,
f__Ruminococcaceae,o__Clostridiales,family,f__Ruminococcaceae,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,,
o__Rhodocyclales,c__Betaproteobacteria,order,o__Rhodocyclales,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,,,
f__Rhodocyclaceae,o__Rhodocyclales,family,f__Rhodocyclaceae,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,,
g__Methyloversatilis,f__Rhodocyclaceae,genus,g__Methyloversatilis,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,g__Methyloversatilis,
c__Gammaproteobacteria,p__Proteobacteria,class,c__Gammaproteobacteria,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,,,,
o__Oceanospirillales,c__Gammaproteobacteria,order,o__Oceanospirillales,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,,,
