seqname,tax_id
4479946,o__MND1
2970300,o__d153
684238,f__Ruminococcaceae
4376890,g__Methyloversatilis
370251,s__montiporae
31738,g__LCP-26
256904,c__Ellin6529
4473812,p__KSB3
3209311,f__HTCC2188
582560,o__Acidimicrobiales
4473818,g__Limnobacter
103545,f__Helicobacteraceae
103544,o__MBA08
4470541,f__Holophagaceae
4424923,g__Butyrivibrio
4470542,g__Hyphomicrobium
4424926,c__At12OctB3
4470547,o__Bacteroidales
254376,g__Roseburia
4470549,f__Comamonadaceae
649518,g__Chroococcidiopsis
4424928,f__Comamonadaceae
146541,f__Cryomorphaceae
252560,f__Gemmataceae
235380,g__Prevotella
2592645,c__MBGB
4364732,g__Phormidium
254371,f__Gaiellaceae
1134668,f__Rhodospirillaceae
1134664,g__Methylibium
4055079,o__AKAU3564
4420308,o__Bacteroidales
4364739,c__NPL-UPA2
187989,o__Clostridiales
776288,f__Syntrophobacteraceae
97153,f__Comamonadaceae
97151,f__S24-7
638076,s__chondroitinus
353886,f__Ruminococcaceae
776283,f__Rhodobacteraceae
322906,o__Clostridiales
515067,g__Tissierella_Soehngenia
322900,o__Clostridiales
780912,c__PBS-25
3239358,g__Gallionella
195512,g__Roseburia
4362775,f__Hyphomicrobiaceae
762274,g__Sulfurimonas
842284,g__Dyella
4321924,s__durum
16700,g__Pseudanabaena
762273,f__Flavobacteriaceae
88021,f__SM1B02
323050,f__Ruminococcaceae
323057,f__Flammeovirgaceae
4407737,f__Ruminococcaceae
583936,g__Spirosoma
4471604,s__gnavus
583939,f__Sphingobacteriaceae
549759,k__Bacteria
100016,o__GAB-B06
100017,g__Candidatus_Solibacter
701864,g__Enterococcus
701865,g__Desulfomonile
119867,c__MCG
549754,s__vinacea
52466,o__Halobacteriales
3968,g__Treponema
4341232,g__Desulfotomaculum
10708,g__Geobacter
235969,f__Gemmataceae
4313102,f__Desulfobulbaceae
10703,o__NB1-j
95796,g__Treponema
10700,o__PeHg47
4314573,g__Desulfococcus
510580,c__S085
367150,f__Lachnospiraceae
176062,o__Clostridiales
176063,o__Clostridiales
176060,f__Ruminococcaceae
176067,g__[Ruminococcus]
274900,s__denitrificans
247460,s__liquefaciens
554377,f__Sporichthyaceae
818562,g__Azospirillum
554375,c__Pla3
554372,g__Oscillospira
1779496,o__Bacteroidales
742886,f__Piscirickettsiaceae
2919166,s__aerofaciens
554378,f__Pirellulaceae
821003,o__pGrfC26
821005,g__SJA-88
306945,f__Rhodobacteraceae
821008,f__A4b
306940,o__Euglenozoa
4295680,s__noxia
633329,f__Syntrophobacteraceae
4362195,c__Gammaproteobacteria
4362197,f__Pirellulaceae
4362191,p__Elusimicrobia
4362193,g__Planctomyces
4429830,c__Gemm-3
4429835,o__Solirubrobacterales
4429834,f__Bacillaceae
806812,f__Bacillaceae
806814,c__Chlamydiia
160254,f__Ktedonobacteraceae
160252,g__Rubellimicrobium
948191,o__BD7-3
1032480,o__BD7-3
1001908,g__Burkholderia
158719,g__Oscillospira
158711,g__Bacteroides
3443119,f__Ruminococcaceae
1086339,o__Sphingobacteriales
2460828,f__Cystobacterineae
274907,g__Reichenbachiella
136219,f__Syntrophobacteraceae
2595969,f__Ruminococcaceae
176685,s__dolichum
176680,s__yabuuchiae
528829,o__Acidimicrobiales
2595967,f__Ruminococcaceae
4403168,g__Desulfotomaculum
112959,f__Cytophagaceae
513052,c__Deltaproteobacteria
513053,f__Peptococcaceae
112952,c__Ellin6529
1081058,g__Staphylococcus
513055,g__Steroidobacter
2140550,o__AKAU3564
3078693,o__iii1-15
559848,g__Ruminococcus
549936,g__Robiginitalea
1908097,f__Piscirickettsiaceae
